DO_org,DO_w,DO_b,DO_g,,,,DOE_w,DOE_b,DOE_g,DOPE_w,DOPE_b,DOPE_g,DOR_w,DOR_b,DOR_g
6.6828125,6.691468337,6.729342976,6.735035161,,,,-0.008655837,-0.046530476,-0.052222661,,,,,,
6.65360625,6.692187464,6.730063913,6.735724858,,,,-0.038581214,-0.076457663,-0.082118608,,,,,,
6.618303125,6.692622551,6.730499971,6.736138747,,,,-0.074319426,-0.112196846,-0.117835622,,,,,,
6.576451562,6.693388022,6.731266733,6.736855553,,,,-0.11693646,-0.154815171,-0.160403991,,,,,,
6.532125781,6.694338136,6.732218497,6.737747067,,,,-0.162212355,-0.200092716,-0.205621286,,,,,,
6.490512891,6.694756284,6.732637219,6.738135435,,,,-0.204243393,-0.242124328,-0.247622544,,,,,,
6.453806445,6.694776066,6.732656867,6.738149368,,,,-0.240969621,-0.278850422,-0.284342923,,,,,,
6.431353223,6.694766175,6.732647043,6.738142401,,,,-0.263412952,-0.30129382,-0.306789178,,,,,,
6.420126611,6.694742227,6.732623047,6.738119747,,,,-0.274615616,-0.312496436,-0.317993136,,,,,,
6.414513306,6.694616234,6.732496542,6.737993394,,,,-0.280102928,-0.317983236,-0.323480088,,,,,,
6.411706653,6.694420219,6.732299703,6.737796023,,,,-0.282713566,-0.32059305,-0.32608937,,,,,,
6.410303326,6.694189202,6.732067705,6.737563152,,,,-0.283885876,-0.321764379,-0.327259826,,,,,,
6.3968,6.693921686,6.731799048,6.737293366,,,,-0.297121686,-0.334999048,-0.340493366,,,,,,
6.405,6.693692931,6.731569316,6.737062634,,,,-0.288692931,-0.326569316,-0.332062634,,,,,,
6.4089,6.693996273,6.731872739,6.737335249,,,,-0.285096273,-0.322972739,-0.328435249,,,,,,
6.4038,6.693427725,6.73130254,6.736783085,,,,-0.289627725,-0.32750254,-0.332983085,,,,,,
6.3976,6.692745765,6.730618698,6.736123648,,,,-0.295145765,-0.333018698,-0.338523648,,,,,,
6.396,6.692687382,6.730559766,6.73605647,,,,-0.296687382,-0.334559766,-0.34005647,,,,,,
6.3914,6.692601199,6.730473064,6.735965385,,,,-0.301201199,-0.339073064,-0.344565385,,,,,,
6.3833,6.692520114,6.730391557,6.735881513,,,,-0.309220114,-0.347091557,-0.352581513,,,,,,
6.3781,6.692536562,6.730408038,6.735897072,,,,-0.314436562,-0.352308038,-0.357797072,,,,,,
6.3778,6.692734759,6.730607064,6.736096505,,,,-0.314934759,-0.352807064,-0.358296505,,,,,,
6.3839,6.69374582,6.73162244,6.737116249,,,,-0.30984582,-0.34772244,-0.353216249,,,,,,
6.4,6.693776376,6.731653123,6.737146947,,,,-0.293776376,-0.331653123,-0.337146947,,,,,,
6.4198,6.694343097,6.732222047,6.737712613,,,,-0.274543097,-0.312422047,-0.317912613,,,,,,
6.4297,6.695196595,6.733079085,6.738570621,,,,-0.265496595,-0.303379085,-0.308870621,,,,,,
6.44705,6.696932584,6.734821141,6.740284735,,,,-0.249882584,-0.287771141,-0.293234735,,,,,,
6.470475,6.700191109,6.738089494,6.743460694,,,,-0.229716109,-0.267614494,-0.272985694,,,,,,
6.4991375,6.704384665,6.742295147,6.747535908,,,,-0.205247165,-0.243157647,-0.248398408,,,,,,
6.53326875,6.708783113,6.746706146,6.751810214,,,,-0.175514363,-0.213437396,-0.218541464,,,,,,
6.572184375,6.713153374,6.751088835,6.756059502,,,,-0.140968999,-0.17890446,-0.183875127,,,,,,
6.615292187,6.7166361,6.754582127,6.759464809,,,,-0.101343913,-0.13928994,-0.144172622,,,,,,
6.663596094,6.717498609,6.755450442,6.76038861,,,,-0.053902515,-0.091854348,-0.096792516,,,,,,
6.718248047,6.718845866,6.756804497,6.761774475,,,,-0.000597819,-0.03855645,-0.043526428,,,,,,
6.779624023,6.72041668,6.758382528,6.763372371,,,,0.059207343,0.021241495,0.016251652,,,,,,
6.848212012,6.722061351,6.760034464,6.765038022,,,,0.126150661,0.088177548,0.08317399,,,,,,
6.920206006,6.722482834,6.760457875,6.765466523,,,,0.197723172,0.159748131,0.154739483,,,,,,
6.990403003,6.722254415,6.760228549,6.765237811,,,,0.268148588,0.230174454,0.225165192,,,,,,
